Rule Name,Rule Description,
Deep Strike,"DEEP STRIKE Some units make their way to battle via tunnelling, teleportation, high-altitude descent or other extraordinary means that allow them to appear suddenly in the thick of the fighting. During the Declare Battle Formations step, if every model in a unit has this ability, you can set it up in Reserves instead of setting it up on the battlefield. If you do, in the Reinforcements step of one of your Movement phases you can set up this unit anywhere on the battlefield that is more than 9"" horizontally away from all enemy models. If a unit with the Deep Strike ability arrives from Strategic Reserves, the controlling player can choose for that unit to be set up either using the rules for Strategic Reserves or using the Deep Strike ability. Unit can be set up in Reserves instead of on the battlefield.; Unit can be set up in your Reinforcements step, more than 9"" horizontally away from all enemy models.",
Fights First,"FIGHTS FIRST Some warriors attack with blinding speed, landing their blows before their foes can react. Units with this ability that are eligible to fight do so in the Fights First step, provided every model in the unit has this ability.",
Infiltrators,"INFILTRATORS Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike. During deployment, if every model in a unit has this ability, then when you set it up, it can be set up anywhere on the battlefield that is more than 9"" horizontally away from the enemy deployment zone and all enemy models.",
Leader,"LEADER Mighty heroes fight at the forefront of battle. Some CHARACTER units have ‘Leader’ listed on their datasheets. Such CHARACTER units are known as Leaders, and the units they can lead – known as their Bodyguard units – are listed on their datasheet. During the Declare Battle Formations step, for each Leader in your army, if your army also includes one or more of that Leader’s Bodyguard units, you can select one of those Bodyguard units. That Leader will then attach to that Bodyguard unit for the duration of the battle and is said to be leading that unit. Each Bodyguard unit can only have one Leader attached to it. While a Bodyguard unit contains a Leader, it is known as an Attached unit and, with the exception of rules that are triggered when units are destroyed , it is treated as a single unit for all rules purposes. Each time an attack targets an Attached unit, until the attacking unit has resolved all of its attacks, you must use the Toughness characteristic of the Bodyguard models in that unit, even if a Leader in that unit has a different Toughness characteristic. Each time an attack sucessfully wounds an Attached unit, that attack cannot be allocated to a CHARACTER model in that unit, even if that CHARACTER model has lost one or more wounds or has already had attacks allocated to it this phase. As soon as the last Bodyguard model in an Attached unit has been destroyed, any attacks made against that unit that have yet to be allocated can then be allocated to CHARACTER models in that unit. Each time the last model in a Bodyguard unit is destroyed, each CHARACTER unit that is part of that Attached unit is no longer part of an Attached unit. It becomes a separate unit, with its original Starting Strength. If this happens as the result of an attack, they become separate units after the attacking unit has resolved all of its attacks. Each time the last model in a CHARACTER unit that is attached to a Bodyguard unit is destroyed and there is not another CHARACTER unit attached, that Attached unit’s Bodyguard unit is no longer part of an Attached unit. It becomes a separate unit, with its original Starting Strength. If this happens as the result of an attack, they become separate units after the attacking unit has resolved all of its attacks. Each time a unit that is part of an Attached unit is destroyed, it does not have the keywords of any other units that make up that Attached unit (unless it has those keywords on its own datasheet) for the purposes of any rules that would be triggered when that unit is destroyed. Example: If you only destroy the Bodyguard unit that is part of an Attached unit, you have not destroyed a CHARACTER unit. If you only destroy the CHARACTER unit that is part of an Attached unit, or if you destroy the whole Attached unit, you have destroyed one CHARACTER unit. Before the battle, CHARACTER units with the Leader ability can be attached to one of their Bodyguard units to form an Attached unit.; Attached units can only contain one Leader.; Attacks cannot be allocated to CHARACTER models in Attached units.",
Lone Operative,"LONE OPERATIVE Assassins and other covert agents are difficult to track and pinpoint in the swirling maelstrom of battle. Unless part of an Attached unit (see Leader ), this unit can only be selected as the target of a ranged attack if the attacking model is within 12"".",
"Scouts 6""","SCOUTS Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force. Some units have ‘Scouts x""’ listed in their abilities. If every model in a unit has this ability, then at the start of the first battle round, before the first turn begins, it can make a Normal move of up to x"", with the exception that, while making that move, the distance moved by each model in that unit can be greater than that model's Move characteristic, as long as it is not greater than x"". DEDICATED TRANSPORT models can make use of any Scouts x"" ability listed in their abilities, or a Scouts x"" ability that a unit that starts the battle embarked within that DEDICATED TRANSPORT model has (provided only models with this ability are embarked within that DEDICATED TRANSPORT model), regardless of how that embarked unit gained this ability (e.g. listed in their abilities, conferred by an Enhancement or by an attached CHARACTER , etc.). A unit that moves using this ability must end that move more than 9"" horizontally away from all enemy models. If both players have units that can do this, the player who is taking the first turn moves their units first. Example: A unit has the Scouts 6"" ability. At the start of the first battle round, the controlling player can make a Normal move with that unit of up to 6"". Scouts x"": Unit can make a Normal move of up to x"" before the first turn begins.; If embarked in a DEDICATED TRANSPORT , that DEDICATED TRANSPORT can make this move instead.; Must end this move more than 9"" horizontally away from all enemy models.",
Stealth,"STEALTH Some warriors are masters of disguise and concealment. If every model in a unit has this ability, then each time a ranged attack is made against it, subtract 1 from that attack’s Hit roll .",
Deadly Demise D6,"When this model is destroyed, roll one D6. On a 6, each unit within 6"" of this model suffers D6 mortal wounds.""",
Deadly Demise D3,"When this model is destroyed, roll one D6. On a 6, each unit within 6"" of this model suffers D3 mortal wounds.""",
Deadly Demise 1,"When this model is destroyed, roll one D6. On a 6, each unit within 6"" of this model suffers 1 mortal wound.""",
"Scouts 9""","After both sides have deployed, this unit can make a Normal move of up to 9"". It cannot end this move within 9"" of any enemy models.""",
Feel No Pain 5+,"Each time a wound is allocated to a model in this unit, roll one D6. On a 5+, that wound is ignored.",
Feel No Pain 6+,"Each time a wound is allocated to a model in this unit, roll one D6. On a 6, that wound is ignored.",
Sullen Malevolence (Aura),"While an enemy unit is within 6"" of this unit and this unit contains one or more Blue Horror models, worsen the Leadership characteristic of models in that enemy unit by 1.",
Champion Slayer,"Each time this model makes a melee attack that targets a Character unit, re-roll a Hit roll of 1. Each time this model destroys an enemy Character model, gain 1CP.",
Mischief and Confusion,"At the start of the Shooting phase, select one enemy unit within 12"" of this model. Until the end of the phase, each time a model in that unit makes a ranged attack, subtract 1 from the Hit roll.",
Xirat'p's Sorcerous Barrages (Psychic),"At the end of your Movement phase, roll 1D6 for each enemy unit within 6"" of this model: on a 2-3, that unit suffers 1 mortal wound; on a 4-5, that unit suffers D3 mortal wounds; on a 6, that unit suffers D6 mortal wounds.",
Dazzling Acrobatics,This model is eligible to declare a charge in a turn in which it Fell Back.,
