Unit Ability Name,Unit Ability Description,,,,,
The Shadow of Chaos,"If your Army Faction is Legiones Daemonica, certain areas of the battlefield are considered to be within your army's Shadow of Chaos. Your deployment zone is always within your army's Shadow of Chaos. At the start of any phase, if you control at least half of the objective markers within No Man's Land, until the end of that phase, No Man's Land is within your army's Shadow of Chaos. At the start of any phase, if you control at least half of the objective markers within your opponent's deployment zone, until the end of that phase, your opponent's deployment zone is within your army's Shadow of Chaos.",,,,,
Greater Daemon of Khorne (Aura),"While a friendly Khorne Legiones Daemonica unit is within 6"" of this model",,,,,
Rage Embodied (Aura),"While a friendly Khorne Legiones Daemonica unit is within 6"" of this model",,,,,
Murderlust,This unit is eligible to declare a charge in a turn in which it Advanced.,,,,,
Daemon Lord of Khorne (Aura),"While a friendly Khorne Legiones Daemonica unit is within 6"" of this model",,,,,
Relentless Carnage,"At the end of the Fight phase, you can select one enemy unit within Engagement Range of this model and roll eight D6: for each 4+, that enemy unit suffers 1 mortal wound.",,,,,
Lord of Decapitations,"While this model is leading a unit, melee weapons equipped by models in that unit have the [DEVASTATING WOUNDS] ability.",,,,,
Skulls for Khorne,"Each time this model makes an attack that targets a Character unit, you can re-roll the Hit roll and you can re-roll the Wound roll. Each time this model destroys an enemy Character unit, you gain 1CP.",,,,,
Bloodmaster,"While this model is leading a unit, each time a model in that unit makes an attack, add 1 to the Wound roll.",,,,,
A Gory Path,"Each time this model's unit Consolidates, it can move up to 6"" instead of up to 3"".""",,,,,
Skullmaster's Fury,"While this model is leading a unit, each time that unit ends a Charge move, until the end of the turn, Juggernaut's bladed horns equipped by models in that unit have the [DEVASTATING WOUNDS] ability.",,,,,
Devastating Charge,"Each time this model's unit ends a Charge move, each enemy unit within Engagement Range of that unit must take a Battle-shock test.",,,,,
Blood Throne,"At the start of the Fight phase, select one enemy unit within 18"" of and visible to this model. Until the end of the phase",,,,,
Champion Slayer,"Each time this model makes a melee attack that targets a Character or Monster unit, you can re-roll the Wound roll. Each time this model destroys an enemy Character or Monster unit, this model regains up to D6 lost wounds.",,,,,
Pack Leader,"While this model is leading a unit, you can re-roll Advance and Charge rolls made for that unit.",,,,,
Prey of the Blood God,"At the start of the first battle round, select one enemy unit to be this model's prey. Each time a model in this model's unit makes a melee attack that targets its prey, you can re-roll the Wound roll. Each time this model's prey is destroyed, select one new enemy unit to be this model's prey.",,,,,
