Army Name,Unit Name,Size_1,Size_2,Size_3,Points_1-1,Points_2-1,Points_3-1,Points_1-2,Points_2-2,Points_3-2,Points_1-3,Points_2-3,Points_3-3,Allied_Group
Chaos Daemons,Beasts of Nurgle,1,2,,75,140,,75,140,,75,140,,
Chaos Daemons,Be'Lakor,1,,,390,,,390,,,390,,,
Chaos Daemons,Bloodcrushers,3,6,,95,190,,95,190,,115,210,,
Chaos Daemons,Bloodletters,10,,,110,,,110,,,110,,,
Chaos Daemons,Bloodmaster,1,,,65,,,65,,,65,,,
Chaos Daemons,Bloodthirster,1,,,320,,,320,,,335,,,
Chaos Daemons,Blue Horrors,10,,,125,,,125,,,125,,,
Chaos Daemons,Burning Chariot,1,,,115,,,115,,,115,,,
Chaos Daemons,Changecaster,1,,,60,,,60,,,60,,,
Chaos Daemons,Contorted Epitome,1,,,100,,,100,,,100,,,
Chaos Daemons,Daemonettes,10,,,90,,,90,,,90,,,
Chaos Daemons,Daemon Prince of Chaos,1,,,165,,,165,,,165,,,
Chaos Daemons,Daemon Prince of Chaos with Wings,1,,,190,,,190,,,190,,,
Chaos Daemons,Epidemius,1,,,80,,,80,,,80,,,
Chaos Daemons,Exalted Flamer,1,,,65,,,65,,,65,,,
Chaos Daemons,Fateskimmer,1,,,95,,,95,,,95,,,
Chaos Daemons,Feculent Gnarlmaw,1,,,100,,,100,,,100,,,
Chaos Daemons,Fiends,3,6,,90,180,,90,180,,90,180,,
Chaos Daemons,Flamers,3,6,,65,130,,65,130,,65,130,,
Chaos Daemons,Flesh Hounds,5,10,,75,150,,75,150,,75,150,,
Chaos Daemons,Fluxmaster,1,,,70,,,70,,,70,,,
Chaos Daemons,Great Unclean One,1,,,265,,,265,,,280,,,
Chaos Daemons,Hellflayers,1,2,,80,160,,80,160,,80,160,,
Chaos Daemons,Horticulous Slimux,1,,,120,,,120,,,120,,,
Chaos Daemons,Infernal Enrapturess,1,,,60,,,60,,,60,,,
Chaos Daemons,Kairos Fateweaver,1,,,305,,,305,,,305,,,
Chaos Daemons,Karanak,1,,,70,,,70,,,70,,,
Chaos Daemons,Keeper of Secrets,1,,,255,,,255,,,270,,,
Chaos Daemons,Lord of Change,1,,,320,,,320,,,340,,,
Chaos Daemons,Nurglings,3,6,,45,90,,45,90,,45,90,,
Chaos Daemons,Pink Horrors,10,,,150,,,150,,,150,,,
Chaos Daemons,Plaguebearers,10,,,115,,,115,,,115,,,
Chaos Daemons,Plague Drones,3,6,,110,220,,110,220,,110,220,,
Chaos Daemons,Poxbringer,1,,,55,,,55,,,55,,,
Chaos Daemons,Rendmaster on Blood Throne,1,,,150,,,150,,,170,,,
Chaos Daemons,Rotigus,1,,,280,,,280,,,280,,,
Chaos Daemons,Screamers,3,6,,80,160,,80,160,,80,160,,
Chaos Daemons,Seekers,5,10,,80,155,,80,155,,80,155,,
Chaos Daemons,Shalaxi Helbane,1,,,315,,,315,,,315,,,
Chaos Daemons,Skarbrand,1,,,315,,,315,,,315,,,
Chaos Daemons,Skull Altar,1,,,105,,,105,,,105,,,
Chaos Daemons,Skull Cannon,1,,,90,,,90,,,90,,,
Chaos Daemons,Skullmaster,1,,,85,,,85,,,85,,,
Chaos Daemons,Skulltaker,1,,,85,,,85,,,85,,,
Chaos Daemons,Sloppity Bilepiper,1,,,55,,,55,,,55,,,
Chaos Daemons,Soul Grinder,1,,,180,,,180,,,195,,,
Chaos Daemons,Spoilpox Scrivener,1,,,60,,,60,,,60,,,
Chaos Daemons,Syll'Esske,1,,,120,,,120,,,120,,,
Chaos Daemons,The Blue Scribes,1,,,75,,,75,,,75,,,
Chaos Daemons,The Changeling,1,,,105,,,105,,,105,,,
Chaos Daemons,The Masque of Slaanesh,1,,,95,,,95,,,95,,,
Chaos Daemons,Tormentbringer,1,,,135,,,135,,,135,,,
Chaos Daemons,Tranceweaver,1,,,60,,,60,,,60,,,
Chaos Daemons,Chaos Lord,1,,,90,,,90,,,90,,,Shadow Legion Thralls
Chaos Daemons,Chaos Lord In Terminator Armour,1,,,85,,,85,,,85,,,Shadow Legion Thralls
Chaos Daemons,Chaos Lord with Jump Pack,1,,,90,,,90,,,90,,,Shadow Legion Thralls
Chaos Daemons,Chaos Terminator Squad,5,10,,180,360,,180,360,,180,360,,Shadow Legion Thralls
Chaos Daemons,Chosen,5,10,,125,250,,135,260,,135,260,,Shadow Legion Thralls
Chaos Daemons,Dark Apostle,3,,,65,,,65,,,65,,,Shadow Legion Thralls
Chaos Daemons,Havocs,5,,,125,,,125,,,135,,,Shadow Legion Thralls
Chaos Daemons,Legionaries,5,10,,90,170,,90,170,,90,170,,Shadow Legion Thralls
Chaos Daemons,Master Of Possession,1,,,60,,,60,,,60,,,Shadow Legion Thralls
Chaos Daemons,Possessed,5,10,,120,250,,120,250,,130,260,,Shadow Legion Thralls
Chaos Daemons,Raptors,5,10,,110,210,,110,210,,120,220,,Shadow Legion Thralls
Chaos Daemons,Sorcerer,1,,,60,,,60,,,60,,,Shadow Legion Thralls
Chaos Daemons,Sorcerer In Terminator Armour,1,,,80,,,80,,,80,,,Shadow Legion Thralls
Chaos Daemons,Warp Talons,5,10,,125,280,,125,280,,135,290,,Shadow Legion Thralls
Chaos Daemons,Cultist Firebrand,1,,,45,,,45,,,50,,,Shadow Legion Thralls
Chaos Daemons,Dark Commune,5,,,90,,,100,,,100,,,Shadow Legion Thralls
Chaos Daemons,Traitor Enforcer,2,,,70,,,70,,,70,,,Shadow Legion Thralls
Chaos Daemons,Cultist Mob,10,20,,50,90,,50,90,,50,90,,Shadow Legion Thralls
Chaos Daemons,Accursed Cultists,8,16,,90,195,,110,215,,110,215,,Shadow Legion Thralls
Chaos Daemons,Fellgor Beastmen,10,,,60,,,60,,,60,,,Shadow Legion Thralls
Chaos Daemons,Traitor Guardsmen Squad,10,,,70,,,70,,,70,,,Shadow Legion Thralls
